year,level_1,level_2,value
2005,All Items,Food Excl Food Servicing Services,73.25
2005,All Items,Food Servicing Services,80.286
2005,All Items,Clothing & Footwear,94.673
2005,All Items,Housing & Utilities,66.218
2005,All Items,Household Durables And Services,82.394
2005,All Items,Health Care,76.464
2005,All Items,Transport,73.52
2005,All Items,Communication,105.366
2005,All Items,Recreation & Culture,92.067
2005,All Items,Education,74.774
2005,All Items,Miscellaneous Goods & Services,88.123
2006,All Items,Food,78.475
2006,All Items,Food Excl Food Servicing Services,74.685
2006,All Items,Food Servicing Services,81.283
2006,All Items,Clothing & Footwear,95.38
2006,All Items,Housing & Utilities,68.394
2006,All Items,Household Durables And Services,81.877
2006,All Items,Health Care,77.148
2006,All Items,Transport,72.326
2006,All Items,Communication,104.352
2006,All Items,Recreation & Culture,91.479
2006,All Items,Education,77.124
2006,All Items,Miscellaneous Goods & Services,90.294
2007,All Items,Food,80.798
2007,All Items,Food Excl Food Servicing Services,77.7
2007,All Items,Food Servicing Services,83.018
2007,All Items,Clothing & Footwear,96.017
2007,All Items,Housing & Utilities,68.552
2007,All Items,Household Durables And Services,82.186
2007,All Items,Health Care,80.27
2007,All Items,Transport,74.175
2007,All Items,Communication,105.165
2007,All Items,Recreation & Culture,94.312
2007,All Items,Education,79.226
2007,All Items,Miscellaneous Goods & Services,92.317
2008,All Items,Food,87.046
2008,All Items,Food Excl Food Servicing Services,85.25
2008,All Items,Food Servicing Services,88.184
2008,All Items,Clothing & Footwear,97.435
2008,All Items,Housing & Utilities,78.825
2008,All Items,Household Durables And Services,84.103
2008,All Items,Health Care,84.641
2008,All Items,Transport,77.249
2008,All Items,Communication,105.345
2008,All Items,Recreation & Culture,97.854
2008,All Items,Education,82.927
2008,All Items,Miscellaneous Goods & Services,94.138
2009,All Items,Food,89.02
2009,All Items,Food Excl Food Servicing Services,87.401
2009,All Items,Food Servicing Services,90.046
2009,All Items,Clothing & Footwear,98.344
2009,All Items,Housing & Utilities,80.388
2009,All Items,Household Durables And Services,85.033
2009,All Items,Health Care,86.176
2009,All Items,Transport,74.857
2009,All Items,Communication,105.6
2009,All Items,Recreation & Culture,96.619
2009,All Items,Education,83.551
2009,All Items,Miscellaneous Goods & Services,94.415
2010,All Items,Food,90.229
2010,All Items,Food Excl Food Servicing Services,89.443
2010,All Items,Food Servicing Services,90.726
2010,All Items,Clothing & Footwear,98.884
2010,All Items,Housing & Utilities,82.189
2010,All Items,Household Durables And Services,85.914
2010,All Items,Health Care,87.733
2010,All Items,Transport,82.57
2010,All Items,Communication,103.247
2010,All Items,Recreation & Culture,97.555
2010,All Items,Education,86.393
2010,All Items,Miscellaneous Goods & Services,95.036
2011,All Items,Food,92.979
2011,All Items,Food Excl Food Servicing Services,92.628
2011,All Items,Food Servicing Services,93.202
2011,All Items,Clothing & Footwear,99.018
2011,All Items,Housing & Utilities,89.585
2011,All Items,Household Durables And Services,91.449
2011,All Items,Health Care,89.814
2011,All Items,Transport,92.407
2011,All Items,Communication,101.691
2011,All Items,Recreation & Culture,96.164
2011,All Items,Education,89.49
2011,All Items,Miscellaneous Goods & Services,95.919
2012,All Items,Food,95.141
2012,All Items,Food Excl Food Servicing Services,94.894
2012,All Items,Food Servicing Services,95.297
2012,All Items,Clothing & Footwear,100.487
2012,All Items,Housing & Utilities,97.122
2012,All Items,Household Durables And Services,93.647
2012,All Items,Health Care,93.73
2012,All Items,Transport,98.951
2012,All Items,Communication,101.595
2012,All Items,Recreation & Culture,97.149
2012,All Items,Education,93.122
2012,All Items,Miscellaneous Goods & Services,96.939
2013,All Items,Food,97.147
2013,All Items,Food Excl Food Servicing Services,97.09
2013,All Items,Food Servicing Services,97.183
2013,All Items,Clothing & Footwear,100.811
2013,All Items,Housing & Utilities,99.886
2013,All Items,Household Durables And Services,98.231
2013,All Items,Health Care,97.285
2013,All Items,Transport,101.229
2013,All Items,Communication,100.174
2013,All Items,Recreation & Culture,98.247
2013,All Items,Education,96.697
2013,All Items,Miscellaneous Goods & Services,98.74
2014,All Items,Food,99.974
2014,All Items,Food Excl Food Servicing Services,99.959
2014,All Items,Food Servicing Services,99.983
2014,All Items,Clothing & Footwear,99.999
2014,All Items,Housing & Utilities,99.999
2014,All Items,Household Durables And Services,99.962
2014,All Items,Health Care,99.979
2014,All Items,Transport,99.995
2014,All Items,Communication,99.983
2014,All Items,Recreation & Culture,99.974
2014,All Items,Education,100
2014,All Items,Miscellaneous Goods & Services,99.917
2015,All Items,Food,101.9
2015,All Items,Food Excl Food Servicing Services,101.183
2015,All Items,Food Servicing Services,102.299
2015,All Items,Clothing & Footwear,100.06
2015,All Items,Housing & Utilities,96.459
2015,All Items,Household Durables And Services,99.354
2015,All Items,Health Care,99.895
2015,All Items,Transport,98.558
2015,All Items,Communication,100.319
2015,All Items,Recreation & Culture,100.303
2015,All Items,Education,103.44
2015,All Items,Miscellaneous Goods & Services,99.873
2016,All Items,Food,103.992
2016,All Items,Food Excl Food Servicing Services,103.511
2016,All Items,Food Servicing Services,104.26
2016,All Items,Clothing & Footwear,100.28
2016,All Items,Housing & Utilities,92.526
2016,All Items,Household Durables And Services,101.151
2016,All Items,Health Care,100.968
2016,All Items,Transport,96.191
2016,All Items,Communication,99.946
2016,All Items,Recreation & Culture,101.227
2016,All Items,Education,106.622
2016,All Items,Miscellaneous Goods & Services,100.123
2017,All Items,Food,105.453
2017,All Items,Food Excl Food Servicing Services,104.845
2017,All Items,Food Servicing Services,105.791
2017,All Items,Clothing & Footwear,100.89
2017,All Items,Housing & Utilities,90.181
2017,All Items,Household Durables And Services,102.22
2017,All Items,Health Care,103.486
2017,All Items,Transport,98.692
2017,All Items,Communication,100.501
2017,All Items,Recreation & Culture,101.558
2017,All Items,Education,109.838
2017,All Items,Miscellaneous Goods & Services,100.266
